,Date,AveragePrice_Mean,t-1,t-2,t-3,t-4,t-5
21.0,2016-07-31,1.4266666666666667,0.8500000000000001,1.2566666666666668,1.1475,1.1875,1.2525
33.0,2016-08-05,0.8500000000000001,1.2566666666666668,1.1475,1.1875,1.2525,1.2525
19.0,2016-08-14,1.2566666666666668,1.1475,1.1875,1.2525,1.2525,1.2875
18.0,2016-08-21,1.1475,1.1875,1.2525,1.2525,1.2875,1.0939999999999999
17.0,2016-08-28,1.1875,1.2525,1.2525,1.2875,1.0939999999999999,0.9666666666666665
11.0,2016-09-10,1.2525,1.2525,1.2875,1.0939999999999999,0.9666666666666665,1.2166666666666668
14.0,2016-09-18,1.2525,1.2875,1.0939999999999999,0.9666666666666665,1.2166666666666668,1.32
13.0,2016-09-25,1.2875,1.0939999999999999,0.9666666666666665,1.2166666666666668,1.32,1.3175
50.0,2016-10-01,1.0939999999999999,0.9666666666666665,1.2166666666666668,1.32,1.3175,1.515
37.0,2016-10-04,0.9666666666666665,1.2166666666666668,1.32,1.3175,1.515,1.0050000000000001
24.0,2016-10-07,1.2166666666666668,1.32,1.3175,1.515,1.0050000000000001,1.2016666666666667
10.0,2016-10-16,1.32,1.3175,1.515,1.0050000000000001,1.2016666666666667,1.5300000000000002
9.0,2016-10-23,1.3175,1.515,1.0050000000000001,1.2016666666666667,1.5300000000000002,1.4566666666666668
8.0,2016-10-30,1.515,1.0050000000000001,1.2016666666666667,1.5300000000000002,1.4566666666666668,1.4183333333333337
15.0,2016-11-09,1.0050000000000001,1.2016666666666667,1.5300000000000002,1.4566666666666668,1.4183333333333337,1.1975
2.0,2016-11-12,1.2016666666666667,1.5300000000000002,1.4566666666666668,1.4183333333333337,1.1975,1.1983333333333335
6.0,2016-11-13,1.5300000000000002,1.4566666666666668,1.4183333333333337,1.1975,1.1983333333333335,1.2383333333333333
